"metabolite","composition_var","r","p","abs_r"
"met_11","Oil_concentration",-0.509920162402837,0.0306277818532861,0.509920162402837
"met_17","Oil_concentration",-0.49344211730693,0.037435453371949,0.49344211730693
"met_11","Protein_concentration",0.704259902374731,0.00110390763874447,0.704259902374731
"met_09","Protein_concentration",0.600607620651404,0.00839586614550657,0.600607620651404
"met_15","Protein_concentration",0.599849117080667,0.00850037067225965,0.599849117080667
"met_32","Protein_concentration",0.590494310559381,0.00987755808704223,0.590494310559381
"met_25","Protein_concentration",0.576665529582151,0.0122357855710407,0.576665529582151
"met_09","Protein_content",0.761991079128089,0.000237593171931978,0.761991079128089
"met_01","Protein_content",0.601460960850646,0.00827953502768301,0.601460960850646
"met_15","Protein_content",0.549696938303845,0.0181172215720035,0.549696938303845
"met_05","Protein_content",0.534368524495829,0.0223395147091187,0.534368524495829
"met_25","Protein_content",0.516081645892008,0.028344717392753,0.516081645892008
"met_09","Seed_weight",0.652364142946418,0.0033427248976105,0.652364142946418
"met_33","Seed_weight",0.542586119005731,0.0199896314652657,0.542586119005731
"met_01","Seed_weight",0.539278820067017,0.0209107782864574,0.539278820067017
"met_05","Seed_weight",0.494569639378814,0.036935615314747,0.494569639378814
